Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerQA5,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerQA6,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpBrokerageRBServerFillManager,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerQA,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerQA2,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest2,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest3,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest4,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest5,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest6,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTestDT,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTestFX,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerCYP,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerDev,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerDev2,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTest,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTest2,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTest5,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTestFX,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTestSestek,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTestSestek,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpBrRBServiceDeployment,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPDTBatchReportServiceMail,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpForexAccountingDemo,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpMarketDataManagerDev,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpNotificationServices,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpReportMailServer,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MarginCallSaxobankService,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerQA3,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTestDT,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpChainOrderServiceDev,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpChainOrderServiceTest,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpChainOrderServiceQA,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpFTPAgent,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpIBondFileService,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPInstitutionPartnersFileService,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPGPYOrderNotificationService,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpIYSFTPAgent,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpMarketDataManagerQA,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpMarketDataManagerTest,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpNotificationServices,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpNotificationServicesPush,,,,,,,No,
