Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,"Rhino Software, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Publisher(s): 'Rhino Software, Inc.'",,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,"Rhino Software, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,"SafeNet, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,"SafeNet, Inc.",Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,"SafeNet, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,"SafeNet, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,"SafeNet, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Publisher(s): 'SafeNet, Inc.'",,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,"SafeNet, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,"Samsung Techwin Co., Ltd.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,"Samsung Techwin Co., Ltd.",Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,"Samsung Techwin Co., Ltd.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,"Samsung Techwin Co., Ltd.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,"Samsung Techwin Co., Ltd.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Publisher(s): 'Samsung Techwin Co., Ltd.'",,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,"Samsung Techwin Co., Ltd.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,SAP SE,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,SAP SE,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,SAP SE,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,SAP SE,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,SAP SE,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'SAP SE',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,SAP SE,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,SAS Institute Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,SAS Institute Inc.,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,SAS Institute Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,SAS Institute Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,SAS Institute Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'SAS Institute Inc.',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,SAS Institute Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,SECURAX,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,SECURAX,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,SECURAX,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,SECURAX,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,SECURAX,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'SECURAX',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,SECURAX,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,Simon Tatham,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,Simon Tatham,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,Simon Tatham,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,Simon Tatham,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,Simon Tatham,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'Simon Tatham',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,Simon Tatham,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,"Skybox Security, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,"Skybox Security, Inc.",Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,"Skybox Security, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,"Skybox Security, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,"Skybox Security, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Publisher(s): 'Skybox Security, Inc.'",,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,"Skybox Security, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,Smartbear Sweden AB,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,Smartbear Sweden AB,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,Smartbear Sweden AB,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,Smartbear Sweden AB,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,Smartbear Sweden AB,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'Smartbear Sweden AB',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,Smartbear Sweden AB,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,SnmpSoft Company,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,SnmpSoft Company,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,SnmpSoft Company,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,SnmpSoft Company,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,SnmpSoft Company,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'SnmpSoft Company',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,SnmpSoft Company,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,"Solarwinds Worldwide, LLC",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,"Solarwinds Worldwide, LLC",Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,"Solarwinds Worldwide, LLC",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
